GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
agenciaBancaria,com.bankbranch.service.exception,LengthCpfException,0,4,0,0,0,2,0,1,0,1
agenciaBancaria,com.bankbranch.service.exception,InvalidAtributeException,0,4,0,0,0,2,0,1,0,1
agenciaBancaria,com.bankbranch.service.exception,EmptyException,0,4,0,0,0,2,0,1,0,1
agenciaBancaria,com.bankbranch.service.exception,EqualAccountTransfer,0,4,0,0,0,2,0,1,0,1
agenciaBancaria,com.bankbranch.service.exception,ObjectNotFoundException,0,4,0,0,0,2,0,1,0,1
agenciaBancaria,com.bankbranch.service.exception,UnprocessableEntityException,0,4,0,0,0,2,0,1,0,1
agenciaBancaria,com.bankbranch.service.exception,ExistingAccountException,0,4,0,0,0,2,0,1,0,1
agenciaBancaria,com.bankbranch.service.impl,AccountServiceImpl,0,19,0,0,0,4,0,2,0,2
agenciaBancaria,com.bankbranch.service.impl,CustomerServiceImpl,0,179,3,15,0,43,3,15,0,9
agenciaBancaria,com.bankbranch.service.impl,OperationServiceImpl.new Object() {...},3,23,0,0,0,1,0,1,0,1
agenciaBancaria,com.bankbranch.service.impl,ValidationsImpl,0,252,9,33,0,30,9,20,0,8
agenciaBancaria,com.bankbranch.service.impl,OperationServiceImpl,0,218,3,11,0,44,3,12,0,7
agenciaBancaria,com.bankbranch.domain,Customer,86,50,16,0,11,22,12,10,4,10
agenciaBancaria,com.bankbranch.domain,Operation,40,79,8,4,9,27,8,14,3,13
agenciaBancaria,com.bankbranch.domain,Account,38,64,3,3,12,17,11,6,8,6
agenciaBancaria,com.bankbranch,BankbranchApplication,5,3,0,0,2,1,1,1,1,1
agenciaBancaria,com.bankbranch.dto,OperationExtractDTO,97,0,4,0,37,0,19,0,17,0
agenciaBancaria,com.bankbranch.dto,CustomerDTO,19,27,0,0,9,10,5,5,5,5
agenciaBancaria,com.bankbranch.dto,OperationWithdrawDTO,63,0,0,0,23,0,12,0,12,0
agenciaBancaria,com.bankbranch.dto,OperationDepositoDTO,63,0,0,0,23,0,12,0,12,0
agenciaBancaria,com.bankbranch.domain.enums,OperationType,22,84,2,4,3,13,4,6,2,5
agenciaBancaria,com.bankbranch.controller,CustomerController,45,3,0,0,10,1,4,1,4,1
agenciaBancaria,com.bankbranch.controller,OperationController,91,3,0,0,19,1,6,1,6,1
agenciaBancaria,com.bankbranch.controller.exception,ResourceExceptionHandler,143,7,0,0,24,2,8,1,8,1
agenciaBancaria,com.bankbranch.controller.exception,StandardError,33,0,0,0,14,0,7,0,7,0
